panel,k,alpha,mFixed,mCoarse,nFine,h,nDofs,epsProb,epsPrec,localBc,x0Type,seed,gmresIts,flag,relres,precRelres,elapsedSeconds,scaledNfine
table1a,40,0.2,NaN,2,254,0.00393700787401575,65025,120.970085813289,120.970085813289,impedance,random,20240528,15,0,5.44900480888483e-07,4.25817533734434e-07,1.784006,0
table1a,40,0.3,NaN,3,252,0.00396825396825397,64009,174.937931830924,174.937931830924,impedance,random,20240528,16,0,9.98129811508646e-07,7.39467483195237e-07,1.6727637,0
table1a,40,0.4,NaN,4,252,0.00396825396825397,64009,252.98221281347,252.98221281347,impedance,random,20240528,17,0,9.7515865357103e-07,6.83173169699275e-07,1.7374982,0
table1a,40,0.5,NaN,6,252,0.00396825396825397,64009,365.844041541861,365.844041541861,impedance,random,20240528,20,0,7.2137177793951e-07,4.82408108579165e-07,1.9134308,0
table1a,60,0.2,NaN,2,466,0.00214592274678112,218089,204.925793542786,204.925793542786,impedance,random,20240528,15,0,4.51822832171981e-07,3.59276901400228e-07,6.526848,0
table1a,60,0.3,NaN,3,465,0.0021505376344086,217156,308.611247805302,308.611247805302,impedance,random,20240528,16,0,6.3689902524182e-07,4.83457378279201e-07,6.4978124,0
table1a,60,0.4,NaN,5,465,0.0021505376344086,217156,464.75800154489,464.75800154489,impedance,random,20240528,18,0,9.77825991696177e-07,6.8423496385408e-07,6.359312,0
table1a,60,0.5,NaN,8,464,0.0021551724137931,216225,699.909680985674,699.909680985674,impedance,random,20240528,21,0,7.23976101219909e-07,4.70757939874272e-07,6.8609789,0
table1a,80,0.2,NaN,2,716,0.00139664804469274,514089,297.863290661771,297.863290661771,impedance,random,20240528,14,0,9.67436086863176e-07,7.74350806209393e-07,15.4727082,0
table1a,80,0.3,NaN,4,716,0.00139664804469274,514089,461.663969890308,461.663969890308,impedance,random,20240528,18,0,5.16133231480043e-07,3.74401862878758e-07,17.735383,0
table1a,80,0.4,NaN,6,714,0.00140056022408964,511225,715.541752799933,715.541752799933,impedance,random,20240528,19,0,7.40108981766668e-07,5.07921050400316e-07,16.3433779,0
table1a,80,0.5,NaN,9,720,0.00138888888888889,519841,1109.03174904823,1109.03174904823,impedance,random,20240528,21,0,7.36331858764908e-07,4.9162852581378e-07,16.7175369,0
table1a,100,0.2,NaN,3,999,0.001001001001001,1000000,398.107170553497,398.107170553497,impedance,random,20240528,17,0,3.87949213521809e-07,2.91246141954968e-07,36.2911599,0
table1a,100,0.3,NaN,4,1000,0.001,1002001,630.957344480193,630.957344480193,impedance,random,20240528,17,0,8.06348930285979e-07,5.90360893353502e-07,33.3486809,0
table1a,100,0.4,NaN,6,1002,0.000998003992015968,1006009,1000,1000,impedance,random,20240528,19,0,4.57066497353296e-07,3.20139741154953e-07,36.4031656,0
table1a,100,0.5,NaN,10,1000,0.001,1002001,1584.89319246111,1584.89319246111,impedance,random,20240528,21,0,7.08148626151393e-07,4.56592750087712e-07,33.3496803,0
table1a,120,0.2,NaN,3,1314,0.00076103500761035,1729225,504.586491740949,504.586491740949,impedance,random,20240528,16,0,8.30481778892603e-07,6.25136123889843e-07,60.4693428,0
table1a,120,0.3,NaN,4,1316,0.000759878419452888,1734489,814.429965665181,814.429965665181,impedance,random,20240528,17,0,6.02220439442374e-07,4.43937184475516e-07,61.8638534,0
table1a,120,0.4,NaN,7,1316,0.000759878419452888,1734489,1314.5341380124,1314.5341380124,impedance,random,20240528,19,0,9.2595226475588e-07,6.30928385759938e-07,62.0133478,0
table1a,120,0.5,NaN,11,1320,0.000757575757575758,1745041,2121.72939706199,2121.72939706199,impedance,random,20240528,21,0,8.16269166771057e-07,5.24152467062283e-07,59.1380642,0
table1a,140,0.2,NaN,3,1656,0.000603864734299517,2745649,616.547365534063,616.547365534063,impedance,random,20240528,16,0,8.23895017135596e-07,6.22845294121635e-07,101.3357074,0
table1a,140,0.3,NaN,4,1656,0.000603864734299517,2745649,1010.59989772245,1010.59989772245,impedance,random,20240528,17,0,4.41239484174901e-07,3.28045052010065e-07,102.4613697,0
table1a,140,0.4,NaN,7,1659,0.000602772754671489,2755600,1656.50233926789,1656.50233926789,impedance,random,20240528,19,0,6.81856017528382e-07,4.72296776610793e-07,102.413718,0
table1a,140,0.5,NaN,12,1656,0.000603864734299517,2745649,2715.21895676424,2715.21895676424,impedance,random,20240528,21,0,9.58227056946466e-07,6.14863540326728e-07,100.8804443,0
table1b,40,0.2,NaN,2,254,0.00393700787401575,65025,40,40,impedance,random,20240528,16,0,6.46235130957003e-07,4.94409377304711e-07,1.850486,0
table1b,40,0.3,NaN,3,252,0.00396825396825397,64009,40,40,impedance,random,20240528,20,0,5.98270462730341e-07,4.21051250483758e-07,2.0141208,0
table1b,40,0.4,NaN,4,252,0.00396825396825397,64009,40,40,impedance,random,20240528,24,0,9.367786774437e-07,5.96316873500003e-07,2.324514,0
table1b,40,0.5,NaN,6,252,0.00396825396825397,64009,40,40,impedance,random,20240528,35,0,8.13695676912383e-07,4.58476292101235e-07,3.2501841,0
table1b,60,0.2,NaN,2,466,0.00214592274678112,218089,60,60,impedance,random,20240528,16,0,5.95713462576701e-07,4.61342613328071e-07,6.8510382,0
table1b,60,0.3,NaN,3,465,0.0021505376344086,217156,60,60,impedance,random,20240528,20,0,6.78834259008334e-07,4.84616343329586e-07,7.7953666,0
table1b,60,0.4,NaN,5,465,0.0021505376344086,217156,60,60,impedance,random,20240528,29,0,8.04856636774298e-07,4.94880591606815e-07,9.7393119,0
table1b,60,0.5,NaN,8,464,0.0021551724137931,216225,60,60,impedance,random,20240528,44,0,8.24465853064409e-07,4.34815927015119e-07,13.9351124,0
table1b,80,0.2,NaN,2,716,0.00139664804469274,514089,80,80,impedance,random,20240528,16,0,5.13973310419176e-07,4.00008740287409e-07,17.4027945,0
table1b,80,0.3,NaN,4,716,0.00139664804469274,514089,80,80,impedance,random,20240528,24,0,8.45167678373933e-07,5.67050171870137e-07,22.860755,0
table1b,80,0.4,NaN,6,714,0.00140056022408964,511225,80,80,impedance,random,20240528,33,0,8.98001174131636e-07,5.31473562338496e-07,27.2410572,0
table1b,80,0.5,NaN,9,720,0.00138888888888889,519841,80,80,impedance,random,20240528,48,0,9.12433501783889e-07,4.63840084275252e-07,36.8314512,0
table1b,100,0.2,NaN,3,999,0.001001001001001,1000000,100,100,impedance,random,20240528,20,0,6.11817474920939e-07,4.40166654574848e-07,41.3213289,0
table1b,100,0.3,NaN,4,1000,0.001,1002001,100,100,impedance,random,20240528,24,0,8.38706099145644e-07,5.6255343585494e-07,45.0022277,0
table1b,100,0.4,NaN,6,1002,0.000998003992015968,1006009,100,100,impedance,random,20240528,33,0,9.58984068396642e-07,5.68949132489231e-07,59.3737573,0
table1b,100,0.5,NaN,10,1000,0.001,1002001,100,100,impedance,random,20240528,53,0,8.10246944558768e-07,3.86658268950994e-07,80.2183065,0
table1b,120,0.2,NaN,3,1314,0.00076103500761035,1729225,120,120,impedance,random,20240528,19,0,8.3033275280183e-07,5.97048423971975e-07,70.6624396,0
